Frame,Eye State,Pupil Position,Driving Status,Head Rotation,Head Front Tilt,Head Side Tilt
272,Open,Center,Focus,Center,Straight Front Ahead,Straight
273,Open,Center,Focus,Center,Straight Front Ahead,Straight
274,Open,Center,Focus,Center,Straight Front Ahead,Straight
275,Open,Center,Focus,Center,Straight Front Ahead,Straight
276,Open,Center,Focus,Center,Straight Front Ahead,Straight
277,Open,Center,Focus,Center,Straight Front Ahead,Straight
278,Open,Center,Focus,Center,Straight Front Ahead,Straight
279,Open,Center,Focus,Center,Straight Front Ahead,Straight
280,Open,Center,Focus,Center,Straight Front Ahead,Straight
281,Open,Center,Focus,Center,Straight Front Ahead,Straight
282,Open,Center,Focus,Center,Straight Front Ahead,Straight
283,Open,Center,Focus,Center,Straight Front Ahead,Straight
284,Open,Center,Focus,Center,Straight Front Ahead,Straight
285,Open,Center,Focus,Center,Straight Front Ahead,Straight
286,Open,Center,Focus,Center,Straight Front Ahead,Straight
287,Open,Center,Focus,Center,Straight Front Ahead,Straight
288,Open,Center,Focus,Center,Straight Front Ahead,Straight
289,Open,Center,Focus,Center,Straight Front Ahead,Straight
290,Open,Center,Focus,Center,Straight Front Ahead,Straight
291,Open,Center,Focus,Center,Straight Front Ahead,Straight
292,Open,Center,Focus,Center,Straight Front Ahead,Straight
293,Open,Center,Focus,Center,Straight Front Ahead,Straight
294,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
295,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
296,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
297,Closed,Right,Distracted,Center,Straight Front Ahead,Straight
298,Open,Right,Focus,Center,Straight Front Ahead,Straight
299,Open,Center,Focus,Center,Straight Front Ahead,Straight
300,Open,Center,Focus,Center,Straight Front Ahead,Straight
301,Open,Center,Focus,Center,Straight Front Ahead,Straight
302,Open,Center,Focus,Center,Straight Front Ahead,Straight
303,Open,Center,Focus,Center,Straight Front Ahead,Straight
304,Open,Right,Focus,Center,Straight Front Ahead,Straight
305,Open,Center,Focus,Center,Straight Front Ahead,Straight
306,Open,Center,Focus,Center,Straight Front Ahead,Straight
307,Open,Right,Focus,Center,Straight Front Ahead,Straight
308,Open,Right,Focus,Center,Straight Front Ahead,Straight
309,Open,Center,Focus,Center,Straight Front Ahead,Straight
310,Open,Center,Focus,Center,Straight Front Ahead,Straight
311,Open,Right,Focus,Center,Straight Front Ahead,Straight
312,Open,Center,Focus,Center,Straight Front Ahead,Straight
313,Open,Center,Focus,Center,Straight Front Ahead,Straight
314,Open,Center,Focus,Center,Straight Front Ahead,Straight
315,Open,Center,Focus,Center,Straight Front Ahead,Straight
316,Open,Center,Focus,Center,Straight Front Ahead,Straight
317,Open,Center,Focus,Center,Straight Front Ahead,Straight
318,Open,Center,Focus,Center,Straight Front Ahead,Straight
319,Open,Center,Focus,Center,Straight Front Ahead,Straight
320,Open,Center,Focus,Center,Straight Front Ahead,Straight
321,Open,Center,Focus,Center,Straight Front Ahead,Straight
322,Open,Center,Focus,Center,Straight Front Ahead,Straight
323,Open,Center,Focus,Center,Straight Front Ahead,Straight
324,Open,Center,Focus,Center,Straight Front Ahead,Straight
325,Open,Center,Focus,Center,Straight Front Ahead,Straight
326,Open,Center,Focus,Center,Straight Front Ahead,Straight
327,Open,Center,Focus,Center,Straight Front Ahead,Straight
328,Open,Center,Focus,Center,Straight Front Ahead,Straight
329,Open,Center,Focus,Center,Straight Front Ahead,Straight
330,Open,Center,Focus,Center,Straight Front Ahead,Straight
331,Open,Center,Focus,Center,Straight Front Ahead,Straight
332,Open,Center,Focus,Center,Straight Front Ahead,Straight
333,Open,Center,Focus,Center,Straight Front Ahead,Straight
334,Open,Center,Focus,Center,Straight Front Ahead,Straight
335,Open,Center,Focus,Center,Straight Front Ahead,Straight
336,Open,Center,Focus,Center,Straight Front Ahead,Straight
337,Open,Center,Focus,Center,Straight Front Ahead,Straight
338,Open,Center,Focus,Center,Straight Front Ahead,Straight
339,Open,Center,Focus,Center,Straight Front Ahead,Straight
340,Open,Center,Focus,Center,Straight Front Ahead,Straight
341,Open,Center,Focus,Center,Straight Front Ahead,Straight
342,Open,Center,Focus,Center,Straight Front Ahead,Straight
343,Open,Center,Focus,Center,Straight Front Ahead,Straight
344,Open,Center,Focus,Center,Straight Front Ahead,Straight
